"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
"2","2022-01-01T00:22:04.000","2022-01-01T00:37:00.000","5.0","3.15","1.0","N","231","48","2","13.0","0.5","0.5","0.0","0.0","0.3","16.8","2.5","0.0"
"2","2022-01-01T00:39:52.000","2022-01-01T00:47:30.000","5.0","1.39","1.0","N","50","142","1","7.5","0.5","0.5","2.26","0.0","0.3","13.56","2.5","0.0"
"2","2022-01-01T00:50:28.000","2022-01-01T00:52:08.000","6.0","0.55","1.0","N","142","142","2","4.0","0.5","0.5","0.0","0.0","0.3","7.8","2.5","0.0"
"2","2022-01-01T00:54:12.000","2022-01-01T01:04:21.000","5.0","1.99","1.0","N","239","263","1","9.5","0.5","0.5","3.32","0.0","0.3","16.62","2.5","0.0"
"2","2022-01-01T00:10:40.000","2022-01-01T00:19:00.000","1.0","2.0","1.0","N","42","244","1","8.5","0.5","0.5","1.96","0.0","0.3","11.76","0.0","0.0"
"2","2022-01-01T00:27:18.000","2022-01-01T00:40:50.000","1.0","5.14","1.0","N","152","48","4","-17.0","-0.5","-0.5","0.0","0.0","-0.3","-20.8","-2.5","0.0"
"2","2022-01-01T00:27:18.000","2022-01-01T00:40:50.000","1.0","5.14","1.0","N","152","48","2","17.0","0.5","0.5","0.0","0.0","0.3","20.8","2.5","0.0"
"2","2022-01-01T00:59:33.000","2022-01-01T01:14:09.000","4.0","5.37","5.0","N","50","265","2","-75.0","0.0","0.0","0.0","0.0","-0.3","-77.8","-2.5","0.0"
"2","2022-01-01T00:59:33.000","2022-01-01T01:14:09.000","4.0","5.37","5.0","N","50","265","2","75.0","0.0","0.0","0.0","0.0","0.3","77.8","2.5","0.0"
"1","2022-01-01T00:57:08.000","2022-01-01T01:22:35.000","2.0","17.5","1.0","N","132","213","1","47.5","1.75","0.5","7.0","6.55","0.3","63.6","0.0","1.25"
"2","2022-01-01T00:01:52.000","2022-01-01T00:18:29.000","5.0","4.29","1.0","N","164","74","2","15.5","0.5","0.5","0.0","0.0","0.3","19.3","2.5","0.0"
"2","2022-01-01T00:43:23.000","2022-01-01T01:06:07.000","5.0","2.58","1.0","N","263","161","1","15.0","0.5","0.5","3.76","0.0","0.3","22.56","2.5","0.0"
"2","2022-01-01T00:12:31.000","2022-01-01T00:18:39.000","2.0","1.61","1.0","N","229","170","2","7.0","0.5","0.5","0.0","0.0","0.3","10.8","2.5","0.0"
"2","2022-01-01T00:27:24.000","2022-01-01T00:48:04.000","2.0","2.02","1.0","N","234","161","2","13.5","0.5","0.5","0.0","0.0","0.3","17.3","2.5","0.0"
"2","2022-01-01T00:28:36.000","2022-01-01T00:31:55.000","2.0","0.65","1.0","N","113","90","2","4.5","0.5","0.5","0.0","0.0","0.3","8.3","2.5","0.0"
"2","2022-01-01T00:41:30.000","2022-01-01T00:55:33.000","2.0","3.46","1.0","N","249","237","1","12.5","0.5","0.5","3.26","0.0","0.3","19.56","2.5","0.0"
"1","2022-01-01T00:33:55.000","2022-01-01T00:44:32.000","2.0","2.0","1.0","N","163","107","2","9.5","3.0","0.5","0.0","0.0","0.3","13.3","2.5","0.0"
"1","2022-01-01T00:46:11.000","2022-01-01T00:53:06.000","2.0","0.8","1.0","N","107","137","1","6.5","3.0","0.5","2.05","0.0","0.3","12.35","2.5","0.0"
"1","2022-01-01T00:59:22.000","2022-01-01T01:09:19.000","2.0","1.2","1.0","N","170","163","1","8.5","3.0","0.5","2.45","0.0","0.3","14.75","2.5","0.0"
"1","2022-01-01T00:14:23.000","2022-01-01T00:15:37.000","2.0","0.5","1.0","N","263","263","1","3.5","3.0","0.5","1.0","0.0","0.3","8.3","2.5","0.0"
"1","2022-01-01T00:40:24.000","2022-01-01T00:51:52.000","1.0","3.6","1.0","N","163","74","1","12.5","3.0","0.5","3.7","0.0","0.3","20.0","2.5","0.0"
"1","2022-01-01T00:57:02.000","2022-01-01T01:02:31.000","1.0","1.1","1.0","N","75","75","3","6.0","0.5","0.5","0.0","0.0","0.3","7.3","0.0","0.0"
"2","2022-01-01T00:18:07.000","2022-01-01T00:28:55.000","1.0","1.78","1.0","N","249","170","1","9.0","0.5","0.5","3.2","0.0","0.3","16.0","2.5","0.0"
"2","2022-01-01T00:30:34.000","2022-01-01T00:34:04.000","1.0","0.76","1.0","N","137","162","1","4.5","0.5","0.5","1.66","0.0","0.3","9.96","2.5","0.0"
"2","2022-01-01T00:58:01.000","2022-01-01T01:07:09.000","1.0","2.75","1.0","N","79","141","1","9.5","0.5","0.5","2.66","0.0","0.3","15.96","2.5","0.0"
"2","2022-01-01T00:10:00.000","2022-01-01T00:17:51.000","1.0","2.52","1.0","N","137","141","1","9.0","0.5","0.5","2.56","0.0","0.3","15.36","2.5","0.0"
"2","2022-01-01T00:20:57.000","2022-01-01T00:32:28.000","1.0","2.37","1.0","N","141","238","1","10.5","0.5","0.5","2.86","0.0","0.3","17.16","2.5","0.0"
"2","2022-01-01T00:34:55.000","2022-01-01T00:47:34.000","1.0","6.37","1.0","N","238","127","2","19.5","0.5","0.5","0.0","0.0","0.3","23.3","2.5","0.0"
"2","2022-01-01T00:52:09.000","2022-01-01T01:02:11.000","1.0","2.26","1.0","N","127","241","1","9.5","0.5","0.5","3.24","0.0","0.3","14.04","0.0","0.0"
"2","2022-01-01T00:09:56.000","2022-01-01T00:36:55.000","5.0","5.72","1.0","N","239","148","1","22.0","0.5","0.5","5.16","0.0","0.3","30.96","2.5","0.0"
"2","2022-01-01T00:41:21.000","2022-01-01T00:58:06.000","5.0","3.11","1.0","N","148","186","1","13.5","0.5","0.5","4.32","0.0","0.3","21.62","2.5","0.0"
"2","2022-01-01T00:50:06.000","2022-01-01T00:58:01.000","1.0","0.87","1.0","N","170","234","2","6.5","0.5","0.5","0.0","0.0","0.3","10.3","2.5","0.0"
"2","2022-01-01T00:34:09.000","2022-01-01T00:44:30.000","2.0","1.69","1.0","N","164","229","1","8.5","0.5","0.5","1.84","0.0","0.3","14.14","2.5","0.0"
"2","2022-01-01T00:55:25.000","2022-01-01T01:19:13.000","2.0","4.25","1.0","N","164","238","1","18.0","0.5","0.5","3.27","0.0","0.3","25.07","2.5","0.0"
"2","2022-01-01T00:11:51.000","2022-01-01T00:19:55.000","2.0","1.06","1.0","N","246","68","1","7.0","0.5","0.5","2.16","0.0","0.3","12.96","2.5","0.0"
"2","2022-01-01T00:42:41.000","2022-01-01T00:52:36.000","2.0","2.47","1.0","N","50","68","1","10.0","0.5","0.5","2.76","0.0","0.3","16.56","2.5","0.0"
"2","2022-01-01T00:54:46.000","2022-01-01T01:03:48.000","2.0","1.8","1.0","N","68","114","2","8.5","0.5","0.5","0.0","0.0","0.3","12.3","2.5","0.0"
"2","2022-01-01T00:19:17.000","2022-01-01T00:31:19.000","2.0","2.58","1.0","N","229","236","2","11.0","0.5","0.5","0.0","0.0","0.3","14.8","2.5","0.0"
"2","2022-01-01T00:36:11.000","2022-01-01T00:41:04.000","1.0","0.95","1.0","N","263","262","2","5.5","0.5","0.5","0.0","0.0","0.3","9.3","2.5","0.0"
"2","2022-01-01T00:44:27.000","2022-01-01T00:47:23.000","2.0","0.51","1.0","N","263","262","1","4.0","0.5","0.5","1.17","0.0","0.3","8.97","2.5","0.0"
"2","2022-01-01T00:49:30.000","2022-01-01T01:00:10.000","1.0","2.0","1.0","N","263","239","2","9.0","0.5","0.5","0.0","0.0","0.3","12.8","2.5","0.0"
"2","2022-01-01T00:10:12.000","2022-01-01T00:14:30.000","1.0","0.88","1.0","N","79","79","1","5.5","0.5","0.5","1.86","0.0","0.3","11.16","2.5","0.0"
"2","2022-01-01T00:18:55.000","2022-01-01T00:35:40.000","1.0","3.77","1.0","N","114","255","1","15.0","0.5","0.5","3.76","0.0","0.3","22.56","2.5","0.0"
"2","2022-01-01T00:43:39.000","2022-01-01T00:54:49.000","1.0","2.23","1.0","N","148","234","1","10.0","0.5","0.5","2.76","0.0","0.3","16.56","2.5","0.0"
"2","2022-01-01T00:03:53.000","2022-01-01T00:30:20.000","5.0","10.73","1.0","N","138","189","2","32.5","0.5","0.5","0.0","0.0","0.3","35.05","0.0","1.25"
"1","2022-01-01T00:08:37.000","2022-01-01T00:16:19.000","1.0","2.6","1.0","N","264","264","1","9.5","3.0","0.5","2.65","0.0","0.3","15.95","2.5","0.0"
"1","2022-01-01T00:20:49.000","2022-01-01T00:26:35.000","2.0","1.4","1.0","N","264","264","1","6.5","0.5","0.5","2.3","0.0","0.3","10.1","0.0","0.0"
"1","2022-01-01T00:33:36.000","2022-01-01T00:37:52.000","2.0","0.8","1.0","N","264","264","1","4.05","3.0","0.5","0.0","0.0","0.3","7.85","2.5","0.0"
"1","2022-01-01T00:04:47.000","2022-01-01T00:31:24.000","1.0","2.0","1.0","N","233","68","1","16.5","3.0","0.5","1.0","0.0","0.3","21.3","2.5","0.0"
"1","2022-01-01T00:42:24.000","2022-01-01T00:48:12.000","2.0","1.5","1.0","N","48","239","1","7.0","3.0","0.5","3.2","0.0","0.3","14.0","2.5","0.0"
"1","2022-01-01T00:55:55.000","2022-01-01T01:01:37.000","4.0","1.2","1.0","N","239","142","2","6.5","3.0","0.5","0.0","0.0","0.3","10.3","2.5","0.0"
"2","2022-01-01T00:38:39.000","2022-01-01T00:48:03.000","1.0","1.8","1.0","N","234","231","1","8.5","0.5","0.5","1.0","0.0","0.3","13.3","2.5","0.0"
"2","2022-01-01T00:49:15.000","2022-01-01T00:57:12.000","1.0","1.27","1.0","N","231","79","1","7.0","0.5","0.5","2.16","0.0","0.3","12.96","2.5","0.0"
"2","2022-01-01T00:20:53.000","2022-01-01T00:33:59.000","1.0","2.29","1.0","N","43","170","1","10.5","0.5","0.5","4.29","0.0","0.3","18.59","2.5","0.0"
"2","2022-01-01T00:46:24.000","2022-01-01T00:49:58.000","1.0","1.14","1.0","N","233","141","1","5.5","0.5","0.5","2.0","0.0","0.3","11.3","2.5","0.0"
"2","2022-01-01T00:55:19.000","2022-01-01T00:58:08.000","1.0","1.18","1.0","N","237","263","1","5.0","0.5","0.5","1.32","0.0","0.3","10.12","2.5","0.0"
"1","2022-01-01T00:05:33.000","2022-01-01T00:21:32.000","1.0","3.8","1.0","N","142","146","1","14.5","3.0","0.5","3.65","0.0","0.3","21.95","2.5","0.0"
"1","2022-01-01T00:31:50.000","2022-01-01T00:52:10.000","3.0","3.1","1.0","N","237","114","1","15.0","3.0","0.5","4.0","0.0","0.3","22.8","2.5","0.0"
"1","2022-01-01T00:56:55.000","2022-01-01T01:12:01.000","2.0","2.5","1.0","N","114","87","1","12.0","3.0","0.5","3.95","0.0","0.3","19.75","2.5","0.0"
"2","2022-01-01T00:17:11.000","2022-01-01T23:52:41.000","1.0","1.48","1.0","N","142","48","1","10.5","0.5","0.5","0.0","0.0","0.3","14.3","2.5","0.0"
"2","2022-01-01T00:34:16.000","2022-01-01T00:45:49.000","1.0","1.14","1.0","N","48","48","2","8.5","0.5","0.5","0.0","0.0","0.3","12.3","2.5","0.0"
"2","2022-01-01T00:47:31.000","2022-01-01T00:47:37.000","1.0","0.0","5.0","N","48","48","1","14.8","0.0","0.5","4.52","0.0","0.3","22.62","2.5","0.0"
"2","2022-01-01T00:53:29.000","2022-01-01T01:06:09.000","1.0","3.29","1.0","N","48","238","1","13.0","0.5","0.5","3.36","0.0","0.3","20.16","2.5","0.0"
"2","2022-01-01T00:08:24.000","2022-01-01T00:12:40.000","1.0","1.48","1.0","N","231","68","1","6.0","0.5","0.5","1.96","0.0","0.3","11.76","2.5","0.0"
"2","2022-01-01T00:16:58.000","2022-01-01T00:19:41.000","1.0","0.46","1.0","N","90","234","2","-4.0","-0.5","-0.5","0.0","0.0","-0.3","-7.8","-2.5","0.0"
"2","2022-01-01T00:16:58.000","2022-01-01T00:19:41.000","1.0","0.46","1.0","N","90","234","2","4.0","0.5","0.5","0.0","0.0","0.3","7.8","2.5","0.0"
"2","2022-01-01T00:14:03.000","2022-01-01T00:17:13.000","1.0","0.45","5.0","N","234","113","1","15.0","0.0","0.5","1.5","0.0","0.3","19.8","2.5","0.0"
"2","2022-01-01T00:43:59.000","2022-01-01T01:09:05.000","5.0","4.89","1.0","N","107","238","1","20.0","0.5","0.5","4.76","0.0","0.3","28.56","2.5","0.0"
"2","2022-01-01T00:51:25.000","2022-01-01T01:03:51.000","1.0","1.63","1.0","N","161","143","1","10.0","0.5","0.5","2.76","0.0","0.3","16.56","2.5","0.0"
"2","2022-01-01T00:29:29.000","2022-01-01T00:36:04.000","1.0","0.55","1.0","N","161","164","1","6.0","0.5","0.5","2.94","0.0","0.3","12.74","2.5","0.0"
"2","2022-01-01T00:41:27.000","2022-01-01T00:47:29.000","1.0","1.17","1.0","N","234","114","1","6.0","0.5","0.5","1.0","0.0","0.3","10.8","2.5","0.0"
"2","2022-01-01T00:49:14.000","2022-01-01T01:05:27.000","1.0","3.97","1.0","N","114","141","1","14.5","0.5","0.5","4.58","0.0","0.3","22.88","2.5","0.0"
"2","2022-01-01T00:18:33.000","2022-01-01T00:33:58.000","1.0","3.41","1.0","N","50","263","1","14.0","0.5","0.5","3.56","0.0","0.3","21.36","2.5","0.0"
"2","2022-01-01T00:36:14.000","2022-01-01T00:55:53.000","1.0","3.82","1.0","N","263","186","1","16.0","0.5","0.5","3.96","0.0","0.3","23.76","2.5","0.0"
"2","2022-01-01T00:58:14.000","2022-01-01T01:20:10.000","2.0","4.16","1.0","N","68","231","2","18.0","0.5","0.5","0.0","0.0","0.3","21.8","2.5","0.0"
"1","2022-01-01T00:24:18.000","2022-01-01T00:36:55.000","1.0","2.1","1.0","N","249","137","1","10.0","3.0","0.5","2.07","0.0","0.3","15.87","2.5","0.0"
"1","2022-01-01T00:37:48.000","2022-01-01T00:47:10.000","0.0","3.0","1.0","N","137","148","1","11.0","3.0","0.5","2.95","0.0","0.3","17.75","2.5","0.0"
"1","2022-01-01T00:52:20.000","2022-01-01T01:11:11.000","1.0","9.5","1.0","N","144","7","2","28.0","3.0","0.5","0.0","0.0","0.3","31.8","2.5","0.0"
"1","2022-01-01T00:09:29.000","2022-01-01T00:10:11.000","1.0","0.0","2.0","N","263","263","3","52.0","2.5","0.5","0.0","0.0","0.3","55.3","2.5","0.0"
"1","2022-01-01T00:10:42.000","2022-01-01T00:24:47.000","1.0","4.5","1.0","N","263","226","2","15.0","3.0","0.5","0.0","0.0","0.3","18.8","2.5","0.0"
"1","2022-01-01T00:48:58.000","2022-01-01T01:01:56.000","2.0","1.0","1.0","N","161","161","1","9.0","3.0","0.5","0.0","0.0","0.3","12.8","2.5","0.0"
"1","2022-01-01T00:15:13.000","2022-01-01T00:29:16.000","1.0","1.2","1.0","N","68","164","1","9.5","3.0","0.5","2.65","0.0","0.3","15.95","2.5","0.0"
"1","2022-01-01T00:44:36.000","2022-01-01T00:45:04.000","1.0","0.0","1.0","N","163","163","3","2.5","3.0","0.5","0.0","0.0","0.3","6.3","2.5","0.0"
"1","2022-01-01T00:58:04.000","2022-01-01T01:05:23.000","1.0","1.6","1.0","N","75","24","1","7.5","0.5","0.5","4.0","0.0","0.3","12.8","0.0","0.0"
"2","2022-01-01T00:26:10.000","2022-01-01T00:41:42.000","1.0","4.43","1.0","N","237","7","1","15.0","0.5","0.5","3.76","0.0","0.3","22.56","2.5","0.0"
"1","2022-01-01T00:21:49.000","2022-01-01T00:43:51.000","1.0","9.0","1.0","N","132","265","1","26.5","1.75","0.5","5.8","0.0","0.3","34.85","0.0","1.25"
"2","2022-01-01T00:21:11.000","2022-01-01T00:32:51.000","1.0","1.8","1.0","N","90","170","2","9.5","0.5","0.5","0.0","0.0","0.3","13.3","2.5","0.0"
